Participant,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P01,3,3,2,3,3,3,2,3,2,3
P02,3,2,2,3,4,2,2,2,2,3
P03,1,4,1,1,3,4,1,5,1,3
P04,3,4,2,3,2,4,1,5,2,3
P05,3,2,5,3,3,3,4,1,4,1
P06,2,1,3,1,4,2,4,3,5,2
P07,2,2,4,3,3,2,4,2,3,1
P08,1,1,4,1,4,2,5,1,5,1
P09,3,4,1,2,3,5,1,5,3,2
P10,1,3,1,4,3,2,1,4,3,1
P11,3,1,5,1,5,1,5,5,4,1
P12,3,2,3,2,3,2,1,3,2,1
P13,3,3,2,1,2,4,5,3,2,1
P14,3,2,4,1,4,2,4,2,4,1
P15,2,1,4,1,2,1,4,3,3,2
P16,3,1,3,2,4,2,5,3,4,3
P17,3,4,3,2,2,2,1,2,3,4
P18,4,1,3,1,5,1,4,3,2,1
P19,1,2,3,2,4,2,1,1,4,4
P20,1,5,2,5,1,3,4,5,1,5
P21,2,2,4,4,2,2,4,2,1,4
P22,3,2,3,2,3,1,2,1,4,1
