Participant,Mental_Demand,Physical_Demand,Temporal_Demand,Own_Performance,Effort,Frustration
P01,52,33,30,54,28,21
P02,50,5,30,40,75,60
P03,30,12,25,79,57,87
P04,59,0,50,91,66,92
P05,19,13,43,50,64,27
P06,80,15,31,89,69,16
P07,65,21,31,41,50,71
P08,0,0,10,100,0,0
P09,72,29,27,23,10,77
P10,75,0,50,100,0,25
P11,50,53,0,82,21,0
P12,90,1,37,75,72,59
P13,65,10,20,65,70,85
P14,17,4,21,82,18,15
P15,30,20,20,80,30,30
P16,37,7,60,11,19,46
P17,77,11,25,74,29,77
P18,65,0,79,100,21,55
P19,81,38,16,16,55,45
P20,73,45,11,11,12,9
P21,83,0,28,0,75,80
P22,26,11,16,33,14,2
