Participant,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
P01,N,N,N,N,Y,Y,Y,Y,Y,N
P02,N,N,N,Y,Y,Y,Y,Y,Y,Y
P03,Y,N,Y,Y,Y,Y,Y,Y,Y,N
P04,N,N,Y,Y,Y,Y,Y,Y,Y,Y
P05,Y,N,N,N,Y,N,N,N,Y,N
P06,Y,N,Y,Y,Y,Y,Y,Y,Y,N
P07,N,N,N,N,Y,Y,N,Y,Y,Y
P08,Y,Y,N,Y,Y,Y,Y,Y,Y,Y
P09,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
P10,Y,N,N,Y,Y,Y,N,N,Y,N
P11,Y,Y,N,Y,Y,Y,Y,Y,Y,N
P12,Y,N,Y,Y,Y,Y,Y,N,Y,N
P13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
P14,Y,N,Y,Y,N,Y,N,Y,Y,Y
P15,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
P16,N,N,Y,Y,Y,Y,Y,Y,Y,N
P17,N,Y,Y,N,Y,Y,Y,Y,Y,Y
P18,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
P19,Y,Y,Y,N,Y,Y,N,N,Y,N
P20,Y,N,Y,Y,Y,Y,N,N,Y,N
P21,Y,N,N,Y,Y,N,Y,Y,Y,Y
P22,N,N,N,Y,Y,Y,Y,Y,Y,N
